Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Eu encontrar vagas Júnior, mesmo tendo conhecimentos, as empresas não querem moldar um Júnior para um pleno, preferem pagar um pleno/sênior. ","Me acalmar e tentar focalizar no que sei, fora que tenho muita ansiedade e 36 anos, não está sendo fácil tentar uma vaga de Júnior com essa idade, mesmo sendo graduada.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Algoritmos falhos dos sites, concorrência alta, requisitos absurdos para os cargos de iniciante",Reviso o que sei e faço um resumo de mim mesmo,Sim,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback","Poucas vagas para nível JR para o cargo que eu estou buscando, que é como iOS Developer",Eu estudo as principais questões técnicas e sobre a empresa em questão,Não,,,,,,,,,,sim
UX ( e suas variações),Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Adequação com as vagas,Treino possíveis roteiros de respostas ,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",As vagas com especificações muito acima ou com procuras pela quantidade altíssima de anos de experiência.,"Leio, ensaio, vejo vídeos e por fim treino muito pra conseguir.",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"mais de 4000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00",Linkedin,Sim,"Sim, com feedback",Falta de experiência ,Procuro informação sobre a empresa e sobre a vaga; revejo o meu cv,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,Não,Vagas escassas e com muitas exigências ,Estudo sobre a empresa antes e vídeos de dicas de entrevistas no YouTube ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico","Ultrapassar a barreir do currículo, sempre paro no início dos processos seletivos",Estudo sobre a tecnologia da vaga e sobre a empresa,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","As empresas buscam juniors mas querem plenos, não querem ter o trabalho de preparar o profissional.",Busco saber mais sobre as tecnologias utilizadas pela empresa e também busco deixar claro a minha condição como junior e que preciso de um apoio para crescimento na área.,Não,,,,,,,,,,sim
Tech Recruiter,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Instagram / Facebook",Sim,"Sim, com feedback automatico","Muita procura, pouca oferta, além da alta experiência exigida ","Estudo perfil da vaga, empresa e adapto ao meu perfil aquilo que já possuo, além de realizar pesquisa das exigências do mercado atual",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Achar vaga de Jr remota ou híbrida na minha região. Quando tem não é a tecnologia que aprendi,Tenho mentoria com RH no curso atual e pesquiso sobre a vaga e a empresa.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","As oportunidades estão sendo poucas e quando existe, são vagas em que o network prevalece.","Estudo bastante os requisitos da vaga, a empresa e tento alinhar tudo ao meu conhecimento.",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Desejo a primeira oportunidade com oportunidade de crescimento, posso iniciar até não ganhando nada","Linkedin, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Encontrar vagas boas que coincidem com meu perfil ,"No comércio me preparava fazendo uma apresentação resumindo meus pontos, e respondendo as principais perguntas para não ficar despreparado ",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),Estagio,CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Entrei na área por meio de Bootcamp, mas estou cursando Eng de Computação ",99 jobs,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking",Sim,"Sim, com feedback automatico",Minha idade,Pesquiso sobre,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,falta de entrevistas,"Assim que estiver com a entrevista agendada, vou pesquisar mais sobre a história da empresa e cultura, depois me preparar psicologicamente para melhorar o nervosismo.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,Não,Conseguir passar para a etapa de entrevista ,"Participei uma vez para entrevista de emprego, e não tive tempo de me preparar.",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,Estagio,PJ,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback", vaga,estudo a empresa,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Poucas vagas para junior e estágio, número enorme de candidatos, rejeições com respostas automáticas, que de nada servem.",Leio bem a descrição da vaga e pesquiso sobre a empresa.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
DevOps,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",ter nenhuma experiência ,"falo sozinha na frente do espelho. faço pesquisa. monto apresentação, etc.",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Encontrar vagas amigáveis ao aprendizado.,Não sei como me preparar para entrevistas.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Muitas aplicações ,"Pesquiso sobre a empresa, sobre as techs e falou sobre os meus projetos ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,,Não ter os requisitos suficientes para a vaga.,"Sigo pessoas referência em entrevista, escrevo scrip's de entrevista, e faço vídeos falando os script's.",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Vagas com expectativa além do que realmente é necessário para um júnior.,Treino em casa.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord",Sim,"Sim, com feedback automatico",Poucas vagas,Pesquiso sobre a empresa,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","CLT, PJ","Entre 1000,00 e 3000,00",Linkedin,Não,Não,"Achar vagas para Junior, a maioria das vagas pedem bastante experiência na área ",Estudo respostas para possíveis perguntas ,Não,,,,,,,,,,sim
Produtos,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Regime híbrido e experiência,Estudo bastante sobre os requisitos da vaga.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 30 e 60,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 3000,00 e 4000",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Cursos livres avulsos (estilo Udemy), Curso Tecnico",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Instagram,entre 10 e 30,Fui abordado e fiz o processo seletivo,PJ,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Pessoal escolhe pelo famoso quem indica ,"Pesquiso sobre a empresa , vaga e o que se espera da vaga em questão ",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","O que eu sei até o momento está muito longe do que o mercado pede, mesmo já tendo uma faculdade na área, não tenho as vezes nem a metade dos requisitos, mas sigo estudando.","Estudo sobre a empresa, analiso o que ela pede, vejo o que tenho conhecimento e busco projetos que eu apliquei determinadas funções para apresentar.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,,Ter que preencher muitos campos em formulários/plataformas de cadastro. É desestimulante. Principalmente se for Gupy.,Estudos através de orientações de profissionais no LinkedIn e YouTube,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,Não,,Através de conteúdos gratuitos de recrutadores do LinkedIn e YouTube ,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord",Sim,"Sim, com feedback automatico","Nenhuma, procuro sempre",Naturalmente para mim,Não,,,,,,,,,,sim
Agilidade,Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
QA - Qualidade de Software,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Linkedin,"Já estava empregado, então não fiz contabilização. Oportunidades que achava interessante me aplicava",Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,Não,"São poucas oportunidades, e a maioria não passo na triagem de currículo.",Pesquiso sobre a empresa.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Ser chamado para uma entrevista,Estudo sobre a empresa e preparo oq vou apresentar,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",Vagas para junior ,Pesquiso sobre a empresa,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Faculdade,Gupy,entre 10 e 30,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Não,"mais de 4000,00",sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Falta de experiência, falta de um ensino superior",Leio sobre a empresa e como é o trabalho nela,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata",Zap / Telegram,menos de 5,Busquei ativamente um a vaga,Comecei como estagiária mas hoje em dia trabalho CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Cursos livres avulsos (estilo Udemy),Curso,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,Não ter experiência ,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Encontrar a primeira oportunidade na área de Dev,Assisto vídeos relacionados ,Não,,,,,,,,,,sim
DevOps,Sim,,,,,,,,,,,Autodidata,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"mais de 4000,00",sim
QA - Qualidade de Software,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00",Linkedin,Não,Não,Minha maior dificuldade é na hora de ir pra frente no processo seletivo.,Me preparo através dos estudos das plataformas da Udemy,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,Estagio,"CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking",Não,Não,Formar,Estudo ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Zap / Telegram,entre 5 e 10,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"entre 3000,00 e 4000",sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,,Insegurança ,,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Migração de carreira com aproximadamente 4 anos de experiência na área de dados,Trainee,CLT,7900,Linkedin,Sim,"Sim, com feedback automatico",Ser sincero em relação as minhas habildiades e conhecimentos.,Pesquiso sobre os atributos da vaga e sobre a empresa.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Produtos,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,Não,,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,menos de 5,Busquei ativamente um a vaga,PJ,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Estou ainda buscando conhecimentos tecnicos, mas acredito que não teria alguma dificuldade tão grande","Busco conhecer melhor a empresa, o que a vaga procura e busco estudar alguns assuntos para argumentação",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Página da empresa,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Sim,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Bootcamp, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Networking / Amigos,entre 5 e 10,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,ensino médio completo,"Linkedin, discord",entre 10 e 30,Fui abordado e fiz o processo seletivo,PJ,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Não,,"Estagio, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Instagram / Facebook",Não,Não,Confiança ,,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Networking / Amigos,entre 5 e 10,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
